No.    Matricula       Nombre                  ApP             ApM        Edad       Puesto     Sexo 
62.- 315263     DAVID      AGUIRRE         GOMEZ      26       INGENIERO  Masculino
63.- 320231     ANA        CASTRO          MEDINA     21       COMERCIAL  Femenino
64.- 309357     MARINA     AGUIRRE         PEREZ      20       INGENIERO  Femenino
65.- 314603     GUILLERMO  NAVARRO         GUZMAN     19       TECNICO    Masculino
66.- 317899     OSCAR      GUZMAN          RUIZ       27       INGENIERO  Masculino
67.- 321384     LORENA     MENDOZA         PEREZ      30       REPRESENTANTE Femenino
68.- 306954     LIDIA      HERRERA         RODRIGUEZ  25       REPRESENTANTE Femenino
69.- 327898     FRANCISCO  VALENZUELA      VILLANUEVA 21       INGENIERO  Masculino
70.- 301164     ROCIO      RODRIGUEZ       JIMENEZ    27       COMERCIAL  Femenino
71.- 321199     ANTONIA    JIMENEZ         MEDINA     27       TECNICO    Femenino
72.- 322141     JULIA      TORRES          NAVARRO    34       REPRESENTANTE Femenino
73.- 313415     PABLO      SANDOVAL        MENDOZA    35       COMERCIAL  Masculino
74.- 328462     JULIO      TORRES          LOPEZ      35       COMERCIAL  Masculino
75.- 329259     LOLA       DIAZ            VARGAS     30       REPRESENTANTE Femenino
76.- 311891     ELENA      CABRERA         MEDINA     27       INGENIERO  Femenino
77.- 321937     VALERIA    HERRERA         NAVARRO    20       REPRESENTANTE Femenino
78.- 327613     ALFREDO    GONZALEZ        RIOS       26       REPRESENTANTE Masculino
79.- 327695     RODOLFO    RAMIREZ         MENDOZA    33       COMERCIAL  Masculino
80.- 318202     MARIO      AGUIRRE         MORENO     21       TECNICO    Masculino
81.- 300958     LUCAS      MENDEZ          CABRERA    25       TECNICO    Masculino
82.- 328300     IRENE      MORALES         ROJAS      28       COMERCIAL  Femenino
83.- 300754     SANDRA     NAVARRO         RODRIGUEZ  30       COMERCIAL  Femenino
84.- 314376     ERNESTO    SALAS           MENDOZA    22       REPRESENTANTE Masculino
85.- 306519     LUCAS      RODRIGUEZ       GOMEZ      23       COMERCIAL  Masculino
86.- 310385     LOLA       ROJAS           SALAS      19       INGENIERO  Femenino
87.- 301231     RICARDO    HERRERA         MENDEZ     30       COMERCIAL  Masculino
88.- 317524     INES       GONZALEZ        HERRERA    35       INGENIERO  Femenino
89.- 325929     JORGE      NAVARRO         VALENZUELA 30       TECNICO    Masculino
90.- 318469     ANAIS      TORRES          LOPEZ      23       REPRESENTANTE Femenino
91.- 324387     OMAR       TORRES          SOTO       34       REPRESENTANTE Masculino
92.- 308570     DAVID      NAVARRO         SOTO       18       COMERCIAL  Masculino
93.- 301188     JULIO      GARCIA          ROJAS      21       COMERCIAL  Masculino
94.- 318406     YOLANDA    ROJAS           MENDEZ     34       COMERCIAL  Femenino
95.- 317044     LIDIA      RODRIGUEZ       CABRERA    23       TECNICO    Femenino
96.- 320185     VANESA     RODRIGUEZ       ESPINOZA   26       COMERCIAL  Femenino
97.- 320349     MARIANA    HERRERA         RAMIREZ    19       TECNICO    Femenino
98.- 320055     ARMANDO    SANDOVAL        ESCOBAR    32       INGENIERO  Masculino
99.- 321830     ARMANDO    RUIZ            OCHOA      25       COMERCIAL  Masculino
100.- 332214     RODOLFO    RUIZ            PEREZ      18       TECNICO    Masculino
